Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,bending,,,START,0.033,side mark 13 _\Side_1305_10_seven.mp4,1,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,bending,,,STOP,0.133,side mark 13 _\Side_1305_10_seven.mp4,4,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,grabbing peanut,,,POINT,0.133,side mark 13 _\Side_1305_10_seven.mp4,4,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,lifting,,,START,0.167,side mark 13 _\Side_1305_10_seven.mp4,5,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,lifting,,,STOP,0.467,side mark 13 _\Side_1305_10_seven.mp4,14,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,target,,,START,1.833,side mark 13 _\Side_1305_10_seven.mp4,55,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,target,,,STOP,11.297,side mark 13 _\Side_1305_10_seven.mp4,339,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,bending,,,START,12.798,side mark 13 _\Side_1305_11_three.mp4,25,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,grabbing peanut,,,POINT,13.498,side mark 13 _\Side_1305_11_three.mp4,46,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,bending,,,STOP,13.531,side mark 13 _\Side_1305_11_three.mp4,47,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,lifting,,,START,13.531,side mark 13 _\Side_1305_11_three.mp4,47,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,lifting,,,STOP,13.798,side mark 13 _\Side_1305_11_three.mp4,55,NA,
Side_1305,2025-06-10 11:48:46.997,,213.135,Media file(s),player #1:side mark 13 _\Side_1305_10_seven.mp4;side mark 13 _\Side_1305_11_three.mp4;side mark 13 _\Side_1305_12_onehalf.mp4;side mark 13 _\Side_1305_13_one.mp4;side mark 13 _\Side_1305_14_onehalf.mp4;side mark 13 _\Side_1305_15_three.mp4;side mark 13 _\Side_1305_16_five.mp4;side mark 13 _\Side_1305_17_three.mp4;side mark 13 _\Side_1305_18_seven.mp4;side mark 13 _\Side_1305_19_five.mp4;side mark 13 _\Side_1305_20_one.mp4;side mark 13 _\Side_1305_3_seven.mp4;side mark 13 _\Side_1305_4_control.mp4;side mark 13 _\Side_1305_5_three.mp4;side mark 13 _\Side_1305_6_three.mp4;side mark 13 _\Side_1305_7_five.mp4;side mark 13 _\Side_1305_8_control.mp4;side mark 13 _\Side_1305_9_one.mp4,0.0,11.964;11.665;15.565;23.128;7.768;6.764;7.832;11.296;7.564;18.163;6.830;17.764;6.901;16.398;19.330;12.264;4.167;7.833,30.000;30.000;30.000;30.000;29.970;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000;30.000,Sidemark,assessing,,,START,14.231,side mark 13 _\Side_1305_11_three.mp4,68,NA,
